en,ja,confidence
almost only counts in horseshoes and hand grenades,九分九厘は一分に及ばず,6
an apple a day keeps the doctor at bay,医者いらず,5
an apple a day keeps the doctor away,医者いらず,5
an army marches on its stomach,腹が減っては戦はできぬ,10
an englishman's home is his castle,我が家が一番,7
an englishman's home is his castle/a man's home is his castle,我が家が一番,7
an eye for an eye makes the whole world blind,仇を仇で返すな,6
"an eye for an eye, a tooth for a tooth",目には目を歯には歯を,10
an honest man doesn't need to remember much,嘘つきは泥棒の始まり,4
an image is worth a thousand words,百聞は一見にしかず,10
an ounce of prevention is better than a pound of cure,転ばぬ先の杖,10
an ounce of prevention is better than an ounce of cure,転ばぬ先の杖,10
an ounce of prevention is worth a pound of cure,転ばぬ先の杖,10
"another day, another dollar",今日も一日稼ぎ時,3
any exposure is good exposure,悪名は無名に勝る,8
any port in a storm,背に腹は代えられぬ,8
any press is good press,悪名は無名に勝る,9
any publicity is good publicity,悪名は無名に勝る,9
anything worth doing is hard,楽あれば苦あり,5
appearances are deceptive,見かけによらぬ,9
april showers bring forth may flowers,雨降って地固まる,7
april showers bring may flowers,雨降って地固まる,7
"art is long, life is short",芸は身を助ける,4
"as a dog returns to his vomit, so a fool repeats his folly",馬鹿は死ななきゃ治らない,7
"as a tree bends, so shall it grow",三つ子の魂百まで,9
"as one door closes, another opens",捨てる神あれば拾う神あり,10
as queer as a three dollar bill,胡散臭い,3
"as the mountain could not wait upon mahomet, mahomet would go to the mountain",来ぬなら来させてみせよう,2
"as the twig is bent, so is the tree inclined",三つ子の魂百まで,9
"as you have brewed, so you must drink",自業自得,9
"as you make your bed, so you must lie in it",自業自得,10
"as you make your bed, so you must lie upon it",自業自得,10
as you sow so shall you reap,因果応報,10
"as you sow, so shall you reap",因果応報,10
ask a silly question and you will get a silly answer,聞くは一時の恥聞かぬは一生の恥,4
"ask a silly question, get a silly answer",聞くは一時の恥聞かぬは一生の恥,4
"ask a stupid question, get a stupid answer",聞くは一時の恥聞かぬは一生の恥,3
ask no questions and hear no lies,知らぬが仏,9
at the end of my rope,泣きっ面に蜂,2
attack is the best form of defence,攻撃は最大の防御,10
attack is the best form of defense,攻撃は最大の防御,10
attitude reflects leadership,上に立つ者の器で部下が決まる,5
bad money drives out good,悪貨は良貨を駆逐する,10
bad news travels fast,悪事千里を走る,10
bad things come in threes,二度あることは三度ある,7
barking dogs never bite,弱い犬ほどよく吠える,9
barking dogs seldom bite,弱い犬ほどよく吠える,9
be yourself,自分らしく生きよ,4
beauty is but skin-deep,見かけによらぬもの,6
beauty is in the eye of the beholder,蓼食う虫も好き好き,10
beauty is only skin deep,見かけによらぬもの,6
beauty never boiled the pot,美人は三日で飽きる,3
beauty won't boil the pot,美人は三日で飽きる,3
beauty won't make the pot boil,美人は三日で飽きる,3
"before setting out on a mission of vengeance, dig two graves",人を呪わば穴二つ,10
beggars can't be choosers,背に腹は代えられぬ,8
beggars cannot be choosers,背に腹は代えられぬ,8
behind every great man is a great woman,内助の功,7
behind every great man there stands a woman,内助の功,7
"behind every great man, there is a great woman",内助の功,7
behind every successful man there stands a woman,内助の功,7
better an egg today than a hen tomorrow,明日の百より今日の五十,9
better is the enemy of good,過ぎたるは及ばざるがごとし,6
better late than never,遅れても来ないよりまし,7
better safe than sorry,転ばぬ先の杖,10
don't buy green bananas,人生万事塞翁が馬,3
don't change a winning team,勝って兜の緒を締めよ,6
don't count your chickens,捕らぬ狸の皮算用,10
don't count your chickens before the eggs have hatched,捕らぬ狸の皮算用,10
don't count your chickens before they're hatched,捕らぬ狸の皮算用,10
don't count your chickens before they've hatched,捕らぬ狸の皮算用,10
don't count your chicks,捕らぬ狸の皮算用,9
don't count your chicks before they hatch,捕らぬ狸の皮算用,10
don't count your chicks before they're hatched,捕らぬ狸の皮算用,10
don't cry over spilled milk,覆水盆に返らず,10
don't dip your pen in company ink,公私混同するな,6
don't drive faster than your guardian angel can fly,急がば回れ,7
don't fight the tape,時流には逆らうな,6
don't fish off the company dock,公私混同するな,7
don't get above your raising,分をわきまえよ,8
"don't get mad, get even",泣き寝入りするな,5
don't get your honey where you make your money,公私混同するな,7
don't get your hopes up,あまり期待するな,5
don't get your meat where you get your bread,公私混同するな,7
"don't hate the player, hate the game",ルールを恨まず人を恨むな,3
don't judge a book by its cover,人は見かけによらぬもの,10
don't keep a dog and bark yourself,餅は餅屋,7
don't look a gift horse in the mouth,もらい物に文句を言うな,8
don't mess with success,勝って兜の緒を締めよ,6
don't put all your eggs in one basket,一つの籠に卵を盛るな,6
don't sell the skin till you have caught the bear,捕らぬ狸の皮算用,10
don't shit in your own nest,自分の首を絞めるな,5
don't shit where you eat,自分の首を絞めるな,5
don't shoot the messenger,使いに罪はない,8
don't sweat the small stuff,小事にこだわるな,5
don't take any wooden nickels,うまい話には裏がある,7
don't teach your grandmother how to milk ducks,釈迦に説法,10
don't teach your grandmother to steal sheep,釈迦に説法,10
don't try to teach grandma how to suck eggs,釈迦に説法,10
"doubt is the beginning, not the end, of wisdom",疑うことは知恵の始まり,6
drastic times call for drastic measures,非常時には非常手段を,6
dripping water hollows a stone,雨だれ石を穿つ,10
"drive for show, putt for dough",勝負は最後までわからない,5
drunk words are sober thoughts,酔いどれの口から本音が出る,6
drunken words are sober thoughts,酔いどれの口から本音が出る,6
e pluribus unum,三人寄れば文殊の知恵,5
each to his own,十人十色,10
"early to bed and early to rise makes a man healthy, wealthy and wise",早寝早起きは三文の徳,10
"early to bed, early to rise, makes a man healthy, wealthy and wise",早寝早起きは三文の徳,10
easier said than done,言うは易く行うは難し,10
"east is east, and west is west",所変われば品変わる,6
"east, west, home is best",住めば都,9
"easy come, easy go",悪銭身につかず,9
"eat to live, not live to eat",腹八分目に医者いらず,6
"eat, drink and be merry",飲めや歌えや,6
"eat, drink and be merry for tomorrow we die",後は野となれ山となれ,5
"eat, drink and be merry, for tomorrow we die",後は野となれ山となれ,5
"eat, drink, and be merry",飲めや歌えや,6
"eat, drink, and be merry, for tomorrow we die",後は野となれ山となれ,5
eaten bread is soon forgotten,喉元過ぎれば熱さを忘れる,8
empty barrels make the most noise,能ある鷹は爪を隠す,8
empty cans make the most noise,能ある鷹は爪を隠す,8
empty vessels make the most noise,能ある鷹は爪を隠す,8
empty vessels make the most sound,能ある鷹は爪を隠す,8
enough is as good as a feast,過ぎたるは及ばざるが如し,9
est modus in rebus,何事もほどほどが肝心,7
even a blind pig can find an acorn,猿も木から落ちる,4
even a blind pig can find an acorn once in a while,下手な鉄砲も数撃ちゃ当たる,8
even a blind squirrel can find a nut once in a while,下手な鉄砲も数撃ちゃ当たる,9
even a blind squirrel finds an acorn every now and then,下手な鉄砲も数撃ちゃ当たる,9
even a blind squirrel finds an acorn every once in a while,下手な鉄砲も数撃ちゃ当たる,9
even a broken clock is right twice a day,下手な鉄砲も数撃ちゃ当たる,7
even a stopped clock is right twice a day,下手な鉄砲も数撃ちゃ当たる,7
even a worm will turn,一寸の虫にも五分の魂,10
even from a foe a man may learn wisdom,敵に塩を送る,5
even homer nods,弘法も筆の誤り,10
even jove nods,弘法も筆の誤り,9
every barrel has a rotten apple,どこにでも一人は変わり者がいる,6
every cloud has a silver lining,災い転じて福となす,9
every dark cloud has a silver lining,災い転じて福となす,9
every day is a school day,生きることは学ぶこと,7
every dog has his day,犬にも日がある,10
every dog has its day,犬にも日がある,10
every dog must have his day,犬にも日がある,9
every dog must have its day,犬にも日がある,9
every jack has his jill,割れ鍋に綴じ蓋,9
every law has a loophole,法の網をくぐる,6
every law has its loophole,法の網をくぐる,6
every little bit helps,塵も積もれば山となる,10
every little helps,塵も積もれば山となる,10
every man for himself,我が身かわいさ,6
every man has a price,金の切れ目が縁の切れ目,5
every man has his price,金の切れ目が縁の切れ目,5
every man is the architect of his own fortune,人事を尽くして天命を待つ,6
every miller draws water to his own mill,我田引水,10
every picture tells a story,一枚の絵は千の言葉に勝る,7
every rose has a thorn,きれいな花には棘がある,10
every rose has its thorn,きれいな花には棘がある,10
every rule has an exception,例外のない規則はない,9
every shut eye isn't asleep,寝たふりをしているだけ,4
every stick has two ends,物事には裏表がある,6
every tide has its ebb,盛者必衰,7
everybody wants to go to heaven but nobody wants to die,骨折りなくして利得なし,6
everyone has their price,金の切れ目が縁の切れ目,5
everything comes to those who wait,果報は寝て待て,10
everything happens for a reason,無駄なことは何一つない,6
everything is fair in love and war,恋と戦は手段を選ばず,8
everything old is new again,歴史は繰り返す,6
evil be to him who evil thinks,人を呪わば穴二つ,8
experience is the best teacher,経験は最良の教師,8
fact is stranger than fiction,事実は小説より奇なり,10
facts speak louder than words,事実は雄弁に語る,6
failure is the best teacher,失敗は成功のもと,10
failure to prepare is preparing to fail,備えあれば憂いなし,8
faint heart never won fair lady,当たって砕けろ,7
fair exchange is no robbery,持ちつ持たれつ,6
faith can move mountains,信念は山をも動かす,7
faith will move mountains,信念は山をも動かす,7
"fall seven times, stand up eight",七転び八起き,10
false friends are worse than open enemies,仮面の友は露骨な敵よりたちが悪い,4
familiarity breeds contempt,親しき仲にも礼儀あり,8
fas est et ab hoste doceri,敵に学ぶ,6
fight fire with fire,毒をもって毒を制す,10
finders keepers,拾う神あれば捨てる神あり,4
"finders, keepers",拾う神あれば捨てる神あり,4
fine feathers make fine birds,馬子にも衣装,10
fine words butter no parsnips,口先だけでは腹はふくれぬ,6
first catch your hare,捕らぬ狸の皮算用,7
"first come, first served",早い者勝ち,10
first impressions are the most lasting,第一印象が肝心,7
first things first,急がば回れ,5
fish always rots from the head downwards,上が腐れば下も腐る,7
flattery will get you nowhere,お世辞は身を滅ぼす,4
"fool me once, shame on you; fool me twice, shame on me",二度あることは三度ある,4
fools rush in,短気は損気,4
fools rush in where angels fear to tread,君子危うきに近寄らず,8
for want of a nail the shoe was lost; for want of a shoe the horse was lost; and for want of a horse the man was lost,釘一本馬一頭,3
forbidden fruit is the sweetest,押してはならぬと言うほど押したくなる,5
forewarned is forearmed,備えあれば憂いなし,9
"forewarned, forearmed",備えあれば憂いなし,9
fortune favors the bold,虎穴に入らずんば虎子を得ず,10
fortune favors the brave,虎穴に入らずんば虎子を得ず,10
he who pays the piper calls the tune,金を出す者が口を出す,9
he who sups with the devil should have a long spoon,蛇の道は蛇,4
health is wealth,健康は富にまさる,8
health is your first wealth,健康第一,9
heaven helps those that help themselves,天は自ら助くる者を助く,10
heaven helps those who help themselves,天は自ら助くる者を助く,10
hell has no fury like a woman scorned,女の恨みは恐ろしい,9
hell hath no fury like a woman scorned,女の恨みは恐ろしい,9
"hell hath no fury like a woman scorned; heav'n has no rage, like love to hatred turn'd, nor hell a fury, like a woman scorn'd",女の恨みは恐ろしい,8
"hell is full of good meanings, but heaven is full of good works",地獄への道は善意で舗装されている,7
"hic rhodus, hic salta",言うは易く行うは難し,7
hindsight is 20/20,後知恵は誰でも名人,7
hindsight is always twenty-twenty,後知恵は誰でも名人,7
history is written by the victors,勝てば官軍負ければ賊軍,10
history repeats itself,歴史は繰り返す,10
home is where the heart is,住めば都,9
home is where you hang your hat,住めば都,8
honesty is the best policy,正直は最良の策,8
honey catches more flies than vinegar,笑う門には福来たる,5
"hope for the best, and prepare for the worst",最善を望み最悪に備えよ,8
"hope for the best, prepare for the worst",最善を望み最悪に備えよ,8
hope springs eternal,望みは人の命,7
hope springs eternal in the human breast,望みは人の命,7
horses for courses,適材適所,10
how you get them is how you lose them,悪銭身につかず,6
hunger is a good sauce,空腹にまずい物なし,10
hunger is the best pickle,空腹にまずい物なし,9
hunger is the best sauce,空腹は最上のソース,9
hunger is the best seasoning,空腹にまずい物なし,9
hunger is the best spice,空腹にまずい物なし,9
hunt where the ducks are,柳の下のドジョウを狙う,5
"if wishes were horses, beggars might ride",捕らぬ狸の皮算用,8
"if wishes were horses, beggars would ride",捕らぬ狸の皮算用,8
"if you aim at nothing, you'll hit it every time",狙わなければ当たらない,6
"if you build it, they will come",虎穴に入らずんば虎子を得ず,5
"if you can't be good, be careful",君子危うきに近寄らず,6
"if you can't beat them, join them",長いものには巻かれろ,10
"if you can't do the time, don't do the crime",悪事身に仇,6
"if you can't lick them, join them",長いものには巻かれろ,10
"if you can't live longer, live deeper",短く太く生きる,7
"if you can't stand the heat, get out of the kitchen",嫌ならやめろ,6
"if you find yourself in a hole, the first thing to do is stop digging",傷口に塩を塗るな,5
"if you fly with the crows, you get shot with the crows",朱に交われば赤くなる,9
"if you give a mouse a cookie, he'll always ask for a glass of milk",一度許せば二度三度,6
"if you lie down with dogs, you get up with fleas",朱に交われば赤くなる,9
"if you lie down with dogs, you will get up with fleas",朱に交われば赤くなる,9
if you lie with dogs you will get fleas,朱に交われば赤くなる,9
"if you mess with the bull, you get the horns",虎の尾を踏むな,7
"if you pay bananas, you get monkeys",安物買いの銭失い,7
"if you pay peanuts, you get monkeys",安物買いの銭失い,9
"if you play with fire, you will get burned",火遊びは身を滅ぼす,9
"if you think that you know everything, then you're a jack ass",知ったかぶりは恥のもと,6
"if you want a thing done well, do it yourself",人に頼むより自分でやれ,8
"if you want peace, prepare for war",備えあれば憂いなし,8
"if you're growing in age, then you're nearing to the graveyard",生者必滅,7
"if you've got it, flaunt it",持てる者は見せたがる,4
ignorance is bliss,知らぬが仏,10
ill doers are ill deemers,人を疑う者は自らやましい,4
ill news spreads apace,悪事千里を走る,10
ill-gotten gains never prosper,悪銭身につかず,10
imitation is the sincerest form of flattery,真似は最大の賛辞,5
"in for a dime, in for a dollar",毒を食らわば皿まで,8
"in for a penny, in for a pound",毒を食らわば皿まで,10
"in for an inch, in for a mile",毒を食らわば皿まで,9
it is never too late,思い立ったが吉日,8
it is no use crying over spilt milk,覆水盆に返らず,10
it is no use locking the stable door after the horse has bolted,後の祭り,9
"it is not enough to learn how to ride, you must also learn how to fall",転ばぬ先の杖,6
it is not the whistle that pulls the train,口先だけでは動かない,5
it is the early bird that gets the worm,早起きは三文の徳,10
it is the empty can that makes the most noise,能ある鷹は爪を隠す,8
it is the last straw that breaks the camel's back,堪忍袋の緒が切れる,8
it is the squeaky wheel that gets the grease,泣く子は餅を多くもらえる,9
it is what it is,なるようにしかならない,9
it isn't over 'til the fat lady sings,終わり良ければすべて良し,6
it isn't over till the fat lady sings,終わり良ければすべて良し,6
it isn't over until the fat lady sings,終わり良ければすべて良し,6
it isn't the whistle that pulls the train,口先だけでは動かない,5
it needs a hundred lies to cover a single lie,嘘つきは泥棒の始まり,6
it never rains but it pours,弱り目に祟り目,9
it never rains but that it pours,弱り目に祟り目,9
it pays to advertise,鳴かぬ蛍が身を焦がす,2
it takes a heap o' livin' to make a house a home,住めば都,7
it takes a heap of living to make a house a home,住めば都,7
it takes a lot of living to make a house a home,住めば都,7
it takes a thief to catch a thief,蛇の道は蛇,9
it takes all kinds,十人十色,9
it takes all kinds to make a world,十人十色,9
it takes all sorts,十人十色,9
it takes all sorts to make a world,十人十色,9
it takes one to know one,同病相憐れむ,6
it takes two to make a quarrel,喧嘩両成敗,8
it takes two to quarrel,喧嘩両成敗,8
it takes two to tango,喧嘩両成敗,7
it will be the same a hundred years hence,百年一日の如し,5
it will come back and haunt you,自業自得,8
it's a long road that has no turning,待てば海路の日和あり,7
it's a man's world,男尊女卑,6
"it's a tough job, but someone's got to do it",誰かがやらねばならぬ,8
it's all fun and games until someone loses an eye,冗談にもほどがある,5
it's an ill bird that fouls its own nest,親の名を汚すな,4
it's an ill wind that blows no good,災い転じて福となす,9
it's an ill wind that blows no one any good,災い転じて福となす,9
it's an ill wind that blows nobody any good,災い転じて福となす,9
it's an ill wind that blows nobody good,災い転じて福となす,9
it's better to ask forgiveness than permission,許可より謝罪,3
it's easier to ask forgiveness than to get permission,許可より謝罪,3
it's greek to me,ちんぷんかんぷんだ,10
it's lonely at the top,頂点は孤独だ,4
it's never too late to mend,善は急げ,4
it's not over 'til the fat lady sings,終わり良ければすべて良し,5
it's not over till the fat lady sings,終わり良ければすべて良し,5
it's not over until the fat lady sings,終わり良ければすべて良し,5
it's not what you know but who you know,世の中コネ次第,7
it's not what you know but whom you know,世の中コネ次第,7
it's not what you say but how you say it,言い方ひとつ,8
it's the hit dog that howls,図星を刺されると痛い,6
it's the little things,小さなことが大きな違いを生む,5
it's the thought that counts,気は心,10
"jack of all trades, master of none/one/some",器用貧乏,9
"judge not, lest ye be judged",人を呪わば穴二つ,6
"judge not, that ye be not judged",人を呪わば穴二つ,6
"judge not, that you be not judged",人を呪わば穴二つ,6
justice delayed is justice denied,遅すぎる正義は正義にあらず,6
justice is blind,法の下の平等,7
karma is a bitch,因果応報,10
karma's a bitch,因果応報,10
keep your chin up,くよくよするな,8
keep your friends close and your enemies closer,敵を知り己を知れば百戦危うからず,6
"keep your friends close, and your enemies closer",敵を知り己を知れば百戦危うからず,6
keep your powder dry,備えあれば憂いなし,9
kids will be kids,子どもは子どもらしくて当たり前,6
might makes right,弱肉強食,9
mighty oaks from little acorns grow,大樹は小さな苗から,7
misery enjoys company,同病相憐れむ,9
misery loves company,同病相憐れむ,10
misfortunes never come alone,泣きっ面に蜂,9
misfortunes never come singly,泣きっ面に蜂,9
moderation in all things,過ぎたるは及ばざるが如し,10
money can't buy happiness,金で幸せは買えない,8
money cannot buy happiness,金で幸せは買えない,8
"money demands care, you abuse it and it disappears",金は天下の回りもの,5
money does not grow on trees,金のなる木はない,10
money does not smell,金に色なし,6
money does not stink,金に色なし,6
money doesn't grow on trees,金のなる木はない,10
"money earned by deceit, goes by deceit",悪銭身につかず,10
money has no smell,金に色なし,6
money is not everything,金が全てではない,8
money is the root of all evil,金は諸悪の根源,10
"money makes many things, but also makes devil dance",地獄の沙汰も金次第,8
money makes the world go around,世の中金次第,9
money talks,金の力は偉大だ,6
"more haste, less speed",急がば回れ,10
mud sticks,一度ついた悪評は消えない,5
murder will out,悪事千里を走る,8
music has charms to soothe the savage beast,音楽は心の薬,5
my enemy's enemy is my friend,敵の敵は味方,10
ne'er cast a clout till may be out,暑さ寒さも彼岸まで,6
nearly never won the race,九分九厘は一分の零,4
necessity is the mother of innovation,必要は発明の母,9
necessity is the mother of invention,必要は発明の母,10
necessity knows no law,窮すれば鈍する,6
needs must when the devil drives,背に腹は代えられぬ,8
neither a borrower nor a lender be,借りるも貸すも末を思え,7
never ask the barber if you need a haircut,餅は餅屋,3
never cast a clout until may be out,暑さ寒さも彼岸まで,7
never change a running system,触らぬ神に祟りなし,7
never give a sucker an even break,カモがネギをしょってくる,6
never judge a book by its cover,人は見かけによらぬもの,10
never let the sun go down on your anger,一夜の恨みを残すな,4
never look a gift horse in the mouth,ただより高い物はない,5
never meet your heroes,会わぬが仏,8
never put off until tomorrow what you can do today,今日できることは明日に延ばすな,9
"never reveal a man's wage, and woman's age",給料と年齢は聞くな,3
never say die,七転び八起き,8
never say never,絶対はない,8
never speak ill of the dead,死人に口なし,6
never tell tales out of school,内輪のことは外で言うな,4
never too old to learn,学びに遅すぎることはない,8
new brooms sweep clean,新参者は張り切る,4
nice guys finish last,お人よしは損をする,9
"no bucks, no buck rogers",金の切れ目が縁の切れ目,5
no gain without pain,虎穴に入らずんば虎子を得ず,8
no good deed ever goes unpunished,善意があだになる,6
no good deed goes unpunished,善意があだになる,7
"no guts, no glory",当たって砕けろ,9
no man can serve two masters,二兎を追う者は一兎をも得ず,7
no man is an island,人は一人では生きていけない,7
"no matter how much milk you put in coffee, it's still coffee",三つ子の魂百まで,5
"no matter how much milk you put in tea, it's still tea",三つ子の魂百まで,5
"no matter how thin you slice it, it's still baloney",どんぐりの背比べ,6
"no matter how thin you slice it, it's still boloney",どんぐりの背比べ,6
"no matter how you slice it, it's still the same old baloney",どんぐりの背比べ,6
"no mill, no meal",蒔かぬ種は生えぬ,8
no news is good news,知らぬが仏,8
no one can make you feel inferior without your consent,人は人、自分は自分,6
no one is born a master,上手の手習い,7
no one should be judge in his own case,我が身かわいさの欲目,6
no one should be judge in his own cause,我が身かわいさの欲目,6
"no pain, no gain",虎穴に入らずんば虎子を得ず,9
no peace for the weary,弱り目に祟り目,6
no rest for the weary,弱り目に祟り目,6
no rest for the wicked,因果応報,7
no rose without a thorn,楽あれば苦あり,8
no sleep for the wicked,因果応報,7
no smoke without fire,火のない所に煙は立たぬ,10
no time like the present,思い立ったが吉日,10
not all heroes wear capes,縁の下の力持ち,9
not all those who wander are lost,急がば回れ,5
nothing gold can stay,盛者必衰,9
nothing is certain but death and taxes,生者必滅,7
nothing is said that has not been said before,何事も言い尽くされたことばかり,3
nothing new under the sun,日新月異ならず,2
nothing succeeds like success,勝てば官軍,7
"nothing ventured, nothing gained",虎穴に入らずんば虎子を得ず,10
oil and water do not mix,水と油,10
oil and water don't mix,水と油,10
old habits die hard,三つ子の魂百まで,9
old sins cast long shadows,悪事千里を走る,7
one man's terrorist is another man's freedom fighter,立場が変われば見方も変わる,8
one man's trash is another man's treasure,人の嫌がることの中に道がある,5
one may as well hang for a sheep as a lamb,どうせなら大きく賭けよ,3
one might as well be hanged for a sheep as a lamb,どうせなら大きく賭けよ,3
one nail drives out another,去る者は日々に疎し,3
one should never meet one's heroes,会わぬが仏,7
one swallow does not a spring make,一花咲いても春ならず,4
one swallow does not a summer make,一花咲いても春ならず,6
one swallow does not make a spring,一花咲いても春ならず,4
one swallow does not make a summer,一花咲いても春ならず,6
one swallow doesn't a spring make,一花咲いても春ならず,4
one swallow doesn't a summer make,一花咲いても春ならず,6
one swallow doesn't make a spring,一花咲いても春ならず,4
one swallow doesn't make a summer,一花咲いても春ならず,6
"one who believes in sword, dies by the sword",剣を取る者は剣に倒れる,9
one who hesitates is lost,好機逸すべからず,7
"one who speaks only one language is one person, but one who speaks two languages is two people",一つ言葉を覚えれば一つ人間が増える,6
one woman's trash is another woman's treasure,人の嫌がることの中に道がある,5
one year's seeding makes seven years weeding,一粒万倍,4
one's time is one's own,時は金なり,4
only dead fish go with the flow,流れに逆らってこそ魚は生きる,3
only nixon can go to china,毒をもって毒を制す,3
only nixon could go to china,毒をもって毒を制す,3
only the good die young,佳人薄命,9
only time will tell,時が物語る,6
open confession is good for the soul,罪を憎んで人を憎まず,3
opinions are like assholes,十人十色,8
opportunity does not knock until you build a door,運も実力のうち,5
opportunity knocks at every man's door,好機は誰にも一度は訪れる,5
opportunity makes a thief,魔が差す,6
opportunity makes the thief,魔が差す,6
opportunity never knocks twice at any man's door,好機逸すべからず,8
opportunity seldom knocks twice,好機逸すべからず,8
opposites attract,割れ鍋に綴じ蓋,7
"other days, other ways",昔と今とは大違い,6
other times other manners,昔と今とは大違い,6
"right or wrong, my country",国に二言はない,6
risk it for a biscuit,虎穴に入らずんば虎子を得ず,10
rome was not built in a day,ローマは一日にして成らず,10
rome was not built in one day,ローマは一日にして成らず,10
rome wasn't built in a day,ローマは一日にして成らず,10
"rubbish in, rubbish out",出る釘は打たれる,1
rules are made to be broken,破るためにあるのがルールだ,7
rules are meant to be broken,破るためにあるのがルールだ,7
rules are rules,決まりは決まりだ,9
rules are there to be broken,破るためにあるのがルールだ,7
rules is rules,決まりは決まりだ,8
rules were made to be broken,破るためにあるのがルールだ,7
"same shit, different toilet",所変われば品変わる,4
sauce for the goose,同じ穴のむじな,2
scientia potentia est,知は力なり,10
"see a pin and pick it up, all the day you will have good luck; see a pin and let it lay, bad luck you will have all day",笑う門には福来たる,2
see naples and die,日光を見ずして結構と言うな,7
"see no evil, hear no evil, speak no evil",見ざる聞かざる言わざる,10
seeing is believing,百聞は一見にしかず,10
seek and ye shall find,求めよ、さらば与えられん,9
self-praise is no recommendation,手前味噌,6
set a beggar on horseback and he'll ride to the devil,にわか成金は身を滅ぼす,6
set a thief to catch a thief,蛇の道は蛇,8
shallow brooks are noisy,浅瀬に水音高し,10
shared joy is double joy,喜びは分かち合えば倍になる,6
shared sorrow is half sorrow,悲しみは分かち合えば半分になる,6
shiny are the distant hills,隣の芝生は青い,10
shirtsleeves to shirtsleeves in three generations,三代目は家をつぶす,7
shit rolls downhill,上から下への物言い,3
"shoemaker, stick to your last",餅は餅屋,10
short accounts make long friends,金の切れ目が縁の切れ目,4
short reckonings make long friends,金の切れ目が縁の切れ目,4
shrouds have no pockets,あの世へ金は持っていけない,6
shy bairns get noot,言わぬは買わぬに同じ,8
shy bairns get nowt,言わぬは買わぬに同じ,9
silence is consent,沈黙は同意,9
silence is golden,沈黙は金,10
sit crooked and talk straight,本音で腹を割って話す,6
slow and steady wins the race,急がば回れ,8
slow but sure,急がば回れ,7
slow but sure wins the race,急がば回れ,8
"slow is smooth, smooth is fast",急がば回れ,7
snake in the grass,羊の皮をかぶった狼,8
"softly, softly, catchee monkey",急がば回れ,6
some are more equal than others,弱肉強食,6
some days you eat the bear and some days the bear eats you,勝つ日もあれば負ける日もある,7
"some days you get the bear, other days the bear gets you",勝つ日もあれば負ける日もある,7
something is better than nothing,ないよりまし,10
sometimes you eat the bear and sometimes the bear eats you,勝つ日もあれば負ける日もある,7
sow the wind and reap the whirlwind,自業自得,9
"sow the wind, reap the whirlwind",自業自得,9
spare the rod and spoil the child,可愛い子には旅をさせよ,7
