en,ja,confidence
spare the rod and you will spoil the child,可愛い子には旅をさせよ,7
"spare the rod, spoil the child",可愛い子には旅をさせよ,7
speak as you find,思ったことははっきり言え,5
speak of the devil and he appears,噂をすれば影がさす,10
speak of the devil and he shall/is sure/will appear,噂をすれば影がさす,10
speak softly and carry a big stick,飴と鞭を使い分ける,6
speech is silver but) silence is golden,雄弁は銀、沈黙は金,10
"speech is silver, but silence is golden",雄弁は銀、沈黙は金,10
"speech is silver, silence is gold",雄弁は銀、沈黙は金,10
"speech is silver, silence is golden",雄弁は銀、沈黙は金,10
squeaky wheels get oiled,泣く子は餅を多くもらえる,9
start from where you are,千里の道も一歩から,8
sticks in a bundle are unbreakable,三本の矢,9
sticks in a bundle can't be broken,三本の矢,9
sticks in a bundle cannot be broken,三本の矢,9
still water runs deep,能ある鷹は爪を隠す,8
still waters run deep,能ある鷹は爪を隠す,8
strike while the iron is hot,鉄は熱いうちに打て,10
stupid is as stupid does,馬鹿は死ななきゃ治らない,7
"success depends on your backbone, not your wishbone",他力本願より自力本願,6
"success has many fathers, failure is an orphan",勝てば官軍負ければ賊軍,8
"success has many fathers, while failure is an orphan",勝てば官軍負ければ賊軍,8
sufficient unto the day is the evil thereof,明日のことを思い煩うな,5
sunlight is the best disinfectant,公明正大が一番の薬,4
take care of the pence and the pounds will take care of themselves,塵も積もれば山となる,7
take care of the pennies and the pounds will take care of themselves,塵も積もれば山となる,7
"take care of the pennies, and the pounds will take care of themselves",塵も積もれば山となる,7
take the cash and let the credit go,捕らぬ狸の皮算用,5
takes one to know one,同類相求む,6
talk is cheap,言うは易く行うは難し,9
"talk of the devil, and he is bound to appear",噂をすれば影がさす,10
tall oaks from little acorns grow,大樹も一粒のどんぐりから,4
teamwork makes the dream work,三人寄れば文殊の知恵,6
"tell me who your friends are, and i'll tell you who you are",類は友を呼ぶ,9
tell the truth and shame the devil,正直者が最後に勝つ,6
tempus fugit,光陰矢の如し,10
that which doesn't kill you makes you stronger,雨降って地固まる,7
that's how the cookie crumbles,世の中そんなものだ,7
that's the way it goes,世の中そんなものだ,8
that's the way life is,人生そんなものだ,7
that's the way the ball bounces,世の中そんなものだ,7
that's the way the cookie crumbles,世の中そんなものだ,7
that's the way the mop flops,世の中そんなものだ,6
the age of miracles is past,昔の夢は今いずこ,4
the darkest place is under the candlestick,灯台下暗し,10
the devil finds work for idle hands,小人閑居して不善をなす,10
the devil finds work for idle hands to do,小人閑居して不善をなす,10
the devil is in the detail,細部に宿る,7
the devil is in the details,細部に宿る,7
the devil makes work for idle hands,小人閑居して不善をなす,10
the devil that you know is better than the devil that you don't know,知らぬ神より馴染みの鬼,9
the devil we know is better than the devil we don't,知らぬ神より馴染みの鬼,9
the devil we know is better than the devil we don't know,知らぬ神より馴染みの鬼,9
the devil you know,知らぬ神より馴染みの鬼,8
the devil you know is better than the devil you don't,知らぬ神より馴染みの鬼,9
the devil you know is better than the devil you don't know,知らぬ神より馴染みの鬼,9
the die is cast,賽は投げられた,10
"the dogs bark, but the caravan goes on",犬が吠えてもキャラバンは進む,6
"the dogs bark, but the caravan moves on",犬が吠えてもキャラバンは進む,6
the early bird catches the worm,早起きは三文の徳,10
the early bird gets the worm,早起きは三文の徳,10
the end justifies the means,目的のためには手段を選ばない,9
the ends justify the means,目的のためには手段を選ばない,9
the enemy of my enemy is my friend,敵の敵は味方,10
the eyes are the window to the soul,目は口ほどに物を言う,8
the fewer the better fare,少人数は気楽でよい,4
the first step is always the hardest,始めが肝心,8
the fish rots from the head,上腐れば下も腐る,7
the forbidden fruit tastes the sweetest,押してはならぬと言うほど押したくなる,6
the game is not worth the candle,割に合わない,6
the good die young,佳人薄命,8
the grass is always greener,隣の芝生は青い,10
the nail that sticks out gets hammered down,出る杭は打たれる,10
the nail that sticks up gets hammered down,出る杭は打たれる,10
the nut does not fall far from the tree,蛙の子は蛙,10
the only disability in life is a bad attitude,病は気から,6
the only way to find a friend is to be one,情けは人のためならず,6
the pen is mightier than the sword,ペンは剣よりも強し,10
the perfect is the enemy of the good,過ぎたるは及ばざるが如し,6
the pitcher goes so often to the well that it is broken at last,釈迦も石の上から落ちる,3
the pot calling the kettle black,目くそ鼻くそを笑う,10
the proof is in the eating,論より証拠,8
the proof is in the pudding,論より証拠,8
the proof of the pudding is in the eating,論より証拠,9
the rich get richer,金持ち喧嘩せず,3
the rich get richer and the poor get poorer,弱肉強食,7
the road to hell is paved with good intentions,善意が必ずしも良い結果を生むとは限らない,3
the second mouse gets the cheese,急いては事を仕損じる,5
the shoemaker always wears the worst shoes,紺屋の白袴,10
the shoemaker's children go barefoot,紺屋の白袴,10
the shoemaker's son always goes barefoot,紺屋の白袴,10
the sky is the limit,青天井,7
the sky's the limit,青天井,7
the spirit is strong but the flesh is weak,言うは易く行うは難し,7
"the spirit is strong, but the flesh is weak",言うは易く行うは難し,7
the spirit is willing but the flesh is weak,言うは易く行うは難し,8
"the spirit is willing, but the flesh is weak",言うは易く行うは難し,8
the squeaky wheel gets the grease,泣く子は餅を多くもらえる,9
the squeaky wheel gets the oil,泣く子は餅を多くもらえる,9
the streets are paved with gold,黄金郷,3
the strong do what they can and the weak suffer what they must,弱肉強食,9
"the strong do what they can, the weak suffer what they must",弱肉強食,9
the tongue wounds more than a lance,口は災いの元,7
the truth is effortless,嘘つきは泥棒の始まり,4
the truth is in the wine,酒は本心を表す,7
the truth will set you free,正直は一生の宝,7
the victor gets the spoils,勝てば官軍負ければ賊軍,10
"the voice of the people, the voice of god",民の声は神の声,8
the way to a man's heart is through his stomach,男をつかむなら胃袋をつかめ,9
the wheel turns,盛者必衰,7
the winner takes it all,勝者総取り,6
the wolf may lose his teeth but never his nature,三つ子の魂百まで,7
the work praises the man,能ある鷹は爪を隠す,4
the world is someone's oyster,世界は君のものだ,5
the) truth will out,嘘は必ずばれる,9
them that has gets,金持ち喧嘩せず,3
"them that has, gets",持てる者はますます富む,6
"them that has, gets more",持てる者はますます富む,7
them what has gets,持てる者はますます富む,7
"them what has, gets",持てる者はますます富む,7
"them what has, gets more",持てる者はますます富む,8
there ain't no such thing as a free lunch,ただより高いものはない,10
there are always more fish in the sea,男は星の数ほどいる,9
there are bad apples in every orchard,どこにでも困った人はいる,6
there are many ways to skin a cat,やり方は一つではない,6
there are more ways of killing a cat than choking it with cream,やり方は一つではない,6
there are no atheists in foxholes,苦しいときの神頼み,9
there are none so blind as those who will not see,見ぬふりをする,5
there are none so deaf as those who will not hear,聞く耳を持たない,6
there are plenty more fish in the sea,男は星の数ほどいる,10
there are plenty more pebbles on the beach,男は星の数ほどいる,8
there are plenty of fish in the sea,男は星の数ほどいる,10
there are plenty of pebbles on the beach,男は星の数ほどいる,8
there are two sides to every question,物事には必ず裏表がある,8
there are two sides to every story,物事には必ず裏表がある,9
there but for the grace of god go i,明日は我が身,10
there is a lid for every pot,蓼食う虫も好き好き,8
there is a place and time for everything,何事にも時と場合がある,9
there is a time and a place for everything,何事にも時と場合がある,10
there is a time and place for everything,何事にも時期というものがある,8
there is an exception to every rule,例外のない規則はない,10
there is honour among thieves,盗人にも三分の理,7
there is many a good tune played on an old fiddle,年の功は伊達じゃない,7
there is more than one way to skin a cat,やり方は一つではない,6
there is no accounting for tastes,蓼食う虫も好き好き,10
there is no fool like an old fool,年寄りの冷や水,7
there is no honor among thieves,盗人同士に義理はない,6
there is no i in team,和をもって貴しとなす,6
there is no place like home,住めば都,9
there is no shame in not knowing; the shame lies in not finding out,知らぬは一生の恥,8
"there is no smoke without fire/where there is smoke, there is fire",火のない所に煙は立たぬ,10
there is no such thing as a free lunch,ただより高い物はない,10
there is no time like the present,思い立ったが吉日,10
there is nothing new under the sun,世に新しきものなし,6
there is one born every minute,カモはどこにでもいる,4
there is safety in numbers,数は力なり,7
there is strength in numbers,数は力なり,9
there's a first time for everything,何事にも初めてがある,10
there's a lid for every pot,割れ鍋に綴じ蓋,10
there's a place and time for everything,何事にも時期というものがある,8
there's a rotten apple in every barrel,どこにでも一人はろくでもない者がいる,5
there's a sucker born every minute,カモはどこにでもいる,5
there's a time and a place for everything,何事にも時期というものがある,8
there's a time and place for everything,何事にも時期というものがある,8
there's always a bigger fish,上には上がある,10
there's many a good tune played on an old fiddle,年の功は伊達じゃない,7
there's many a slip 'twixt the cup and the lip,口に入るまでが遠い,6
there's many a slip between the cup and the lip,口に入るまでが遠い,6
there's many a slip twixt cup and lip,口に入るまでが遠い,6
there's many a slip twixt the cup and the lip,口に入るまでが遠い,6
there's more than one way to cook an egg,やり方は一つではない,6
there's more than one way to crack an egg,やり方は一つではない,6
there's more than one way to feed a cat,やり方は一つではない,7
there's more than one way to fuck a cat,やり方は一つではない,6
there's more than one way to peel an orange,やり方は一つではない,7
there's more than one way to skin a cat,やり方は一つではない,8
there's no accounting for taste,蓼食う虫も好き好き,10
there's no fool like an old fool,年寄りの冷や水,8
there's no i in team,和をもって貴しとなす,6
there's no place like home,住めば都,9
there's no point crying over spilt milk,覆水盆に返らず,10
there's no smoke without fire,火のない所に煙は立たぬ,10
there's no time like the present,思い立ったが吉日,10
there's no use crying over spilt milk,覆水盆に返らず,10
there's none so blind as those who will not see,見ぬふりをする者ほど始末が悪い,6
there's nowt so queer as folk,人の数だけ考え方がある,6
there's one born every minute,カモがネギしょってくる,7
they hate us 'cause they ain't us,ねたみは優越感の裏返し,5
they that sow the wind shall reap the whirlwind,自業自得,8
third time is a charm,三度目の正直,10
third time pays for all,三度目の正直,9
third time's a charm,三度目の正直,10
third time's the charm,三度目の正直,10
this too shall pass,明けない夜はない,9
this too shall pass away,明けない夜はない,8
those that have get,金持ち喧嘩せず,4
those that have get more,金は寂しがり屋,6
"those that have, get",金持ち喧嘩せず,4
"those that have, get more",金は寂しがり屋,6
those who do not learn from history are doomed to repeat it,歴史は繰り返す,9
those who have get,金持ち喧嘩せず,4
those who have get more,金は寂しがり屋,6
"those who have, get",金持ち喧嘩せず,4
"those who have, get more",金は寂しがり屋,6
those who live in glass houses should not throw stones,人を呪わば穴二つ,7
those who live in glass houses shouldn't throw stones,人を呪わば穴二つ,7
those who say it cannot be done should not interrupt those doing it,やらない人ほど口を出すな,5
those who sleep with dogs will rise with fleas,朱に交われば赤くなる,10
"those who will not when they may, when they will they shall have nay",好機逸すべからず,6
three strikes and you're out,三度目の正直,4
three times a charm,三度目の正直,10
"throw dirt enough, and some will stick",嘘も百回言えば本当になる,7
throw enough mud at the wall and some of it will stick,嘘も百回言えば本当になる,7
"throw enough mud at the wall, some of it will stick",嘘も百回言えば本当になる,7
tide nor time tarrieth no man,歳月人を待たず,9
time and tide stay for no man,歳月人を待たず,10
time and tide tarry for no man,歳月人を待たず,10
time and tide wait for no man,歳月人を待たず,10
time flies,光陰矢の如し,10
time flies when you're having fun,楽しい時間はあっという間,8
time heals,時薬,8
time heals all hurts,時が心の傷を癒やす,8
time heals all sorrows,時が悲しみを癒やす,8
time heals all things,時がすべてを癒やす,8
time heals all wounds,時が心の傷を癒やす,9
time heals every wound,時が心の傷を癒やす,9
time is a great healer,時は最大の良薬,7
time is a great healer of all wounds,時は最大の良薬,7
time is money,時は金なり,10
time is the great healer,時は最大の良薬,7
time is wasted without purpose,無駄にした時間は戻らない,7
time spent laughing is time spent with the gods,笑う門には福来たる,7
timing is everything,何事もタイミングが大事,7
tis better to have loved and lost than never to have loved at all,恋せぬ人は恋の苦しみも知らぬ,6
"to a hammer, everything looks like a nail",弘法にも筆の誤り,2
to be worn out is to be renewed,古いものは新しいものに道を譲る,3
to each his own,十人十色,10
to each their own,十人十色,10
to err is human,人は誰しも過ちを犯す,8
"to err is human, to forgive divine",過ちは人の常 許すは神の業,6
"to err is human; to forgive, divine",過ちは人の常 許すは神の業,6
to the victor go the spoils,勝てば官軍,10
to the victor the spoils,勝てば官軍,10
to thine own self be true,自分に正直に生きよ,6
"two's company, three's trumpery",三人寄ればかしましい,8
ugly is as ugly does,人は見かけによらぬもの,7
underpromise and overdeliver,有言実行,6
uneasy lies the head that wears a crown,大臣の首はいつも寒い,6
union is strength,三人寄れば文殊の知恵,8
union makes strength,三人寄れば文殊の知恵,8
united we bargain; divided we beg,団結は力なり,9
"united we stand, divided we fall",団結は力なり,10
unity is strength,団結は力なり,10
unity makes strength,団結は力なり,10
"until the lions have their historians, tales of the hunt shall always glorify the hunter",勝てば官軍負ければ賊軍,9
up a creek without a paddle,八方ふさがり,8
use it or lose it,錆びるよりは使え,5
variety is the spice of life,変化は人生のスパイス,4
virtue is its own reward,情けは人のためならず,7
walk softly and carry a big stick,能ある鷹は爪を隠す,8
walk softly but carry a big stick,能ある鷹は爪を隠す,8
walls have ears,壁に耳あり障子に目あり,10
walnuts and pears you plant for your heirs,後の世のために木を植える,3
"waste not, want not",無駄をせぬ者は不足を知らず,6
water finds its level,類は友を呼ぶ,8
water finds its own level,類は友を呼ぶ,8
water seeks its level,類は友を呼ぶ,8
water seeks its own level,類は友を呼ぶ,8
we are where we are,今あるがままを受け入れる,3
well begun is half done,始めよければ終わりよし,9
well done is better than well said,言うは易く行うは難し,9
what cannot be cured must be endured,覆水盆に返らず,7
what comes around goes around,因果応報,10
what does not kill me makes me stronger,雨降って地固まる,8
what doesn't kill you makes you stronger,雨降って地固まる,8
what go round come round,因果応報,10
what goes around comes around,因果応報,10
"what goes around, comes around",因果応報,10
what goes round comes round,因果応報,10
what goes up must come down,盛者必衰,9
what happens in las vegas stays in las vegas,旅の恥はかき捨て,7
what happens in vegas stays in vegas,旅の恥はかき捨て,7
what happens on the road stays on the road,旅の恥はかき捨て,8
what has been seen cannot be unseen,見てしまったものは仕方がない,5
what is learnt in the cradle lasts to the tombs,三つ子の魂百まで,10
what is sauce for the goose is sauce for the gander,人に厳しく自分に甘く,4
"what the eye does not see, the heart does not grieve over",見ぬが仏,10
"what the eye doesn't see, the heart doesn't grieve over",見ぬが仏,10
what you gain on the swings you lose on the roundabouts,損して得取れ,6
what you lose on the swings you gain on the roundabouts,損して得取れ,6
what's bred in the bone will come out in the flesh,三つ子の魂百まで,8
what's done cannot be undone,覆水盆に返らず,10
what's done is done,覆水盆に返らず,10
what's good for the goose is good for the gander,人に厳しく自分に甘く,4
what's old is new again,温故知新,7
what's sauce for the goose is sauce for the gander,人に厳しく自分に甘く,4
whatever floats your boat,好き好きは世の習い,8
"when all you have is a hammer, everything looks like a nail",弘法も筆を選ぶ,4
"when america sneezes, the world catches a cold",風が吹けば桶屋が儲かる,3
"when i see a bird that walks like a duck and swims like a duck and quacks like a duck, i call that bird a duck",瓜の蔓に茄子はならぬ,5
"when in doubt, do nowt",君子危うきに近寄らず,7
when in rome,郷に入っては郷に従え,10
"when in rome, do as the romans",郷に入っては郷に従え,10
"when in rome, do as the romans do",郷に入っては郷に従え,10
"when in rome, do like the romans do",郷に入っては郷に従え,10
when it rains it pours,泣きっ面に蜂,9
"when it rains, it pours",泣きっ面に蜂,9
"when life gives you lemons, make lemonade",災い転じて福となす,9
"when one door closes, another door opens",捨てる神あれば拾う神あり,10
"when one door closes, another one opens",捨てる神あれば拾う神あり,10
"when one door closes, another opens",捨てる神あれば拾う神あり,10
"when one door shuts, another door opens",捨てる神あれば拾う神あり,10
"when one door shuts, another one opens",捨てる神あれば拾う神あり,10
"when one door shuts, another opens",捨てる神あれば拾う神あり,10
"when the cat is away, the mice will play",鬼の居ぬ間の洗濯,10
when the cat's away,鬼の居ぬ間の洗濯,9
when the cat's away the mice play,鬼の居ぬ間の洗濯,10
when the cat's away the mice will play,鬼の居ぬ間の洗濯,10
"when the going gets tough, the tough get going",窮すれば通ず,7
"when the looting starts, the shooting starts",因果応報,6
"when you find yourself in a hole, the first thing to do is stop digging",傷口に塩を塗るな,6
"when you hear hoofbeats, look for horses, not zebras",ありそうなことを疑え,4
"when you hear hoofbeats, think horses, not zebras",ありそうなことを疑え,4
"when you hear hoofbeats, think of horses, not zebras",ありそうなことを疑え,4
"when you mess with the bull, you get the horns",虎の尾を踏むな,8
"when you're up to your neck in alligators, it's hard to remember that your initial objective was to drain the swamp",木を見て森を見ず,7
where there is a will there is a way,意思あるところに道あり,9
"where there is a will, there is a way",意思あるところに道あり,9
where there is life there is hope,生きている限り希望はある,8
where there is muck there is brass,損して得取れ,5
where there's a will there's a way,意思あるところに道あり,9
where there's muck there's brass,損して得取れ,5
"where there's smoke, there's fire",火のない所に煙は立たぬ,10
where you stand depends on where you sit,立場が人を作る,8
"wherever you go, there you are",どこへ行っても自分からは逃げられない,6
"whether you think you can, or you think you can't, you're right",成せば成る成さねば成らぬ何事も,7
"while the grass grows, the steed starves",好機逸すべからず,4
while there is life there is hope,生きている限り希望はある,8
"while there's life, there's hope",生きている限り希望はある,8
who keeps company with the wolf will learn to howl,朱に交われば赤くなる,10
"who keeps company with wolves, will learn to howl",朱に交われば赤くなる,10
who pays the piper calls the tune,金を出す者が口を出す,8
who will bell the cat,誰が火中の栗を拾うのか,7
whom the gods love die young,佳人薄命,9
why keep a dog and bark yourself,餅は餅屋,5
"win on sunday, sell on monday",勝てば官軍,4
winning is a great deodorant,勝てば官軍,6
"wins on sunday, sells on monday",勝てば官軍,4
with great power comes great responsibility,権限には責任が伴う,8
woe to the vanquished,負け犬に鞭打つ,6
wonders will never cease,世の中何が起こるかわからない,6
words cut deep,口は災いの元,7
work expands so as to fill the time available,学生と掃除は暇を見てする,5
"work smarter, not harder",急がば回れ,6
worrying never did anyone any good,案ずるより産むが易し,7
worse things happen at sea,上には上がある,5
yesterday is gone,過ぎたことは水に流せ,6
yesterday's gone,覆水盆に返らず,7
you are never too old to learn,学びに遅すぎることはない,8
you are what you eat,医食同源,7
you attract more flies with honey than vinegar,笑う門には福来たる,5
"you break it, you buy it",自業自得,5
"you buy cheap, you get cheap",安物買いの銭失い,10
you can catch more flies with honey than vinegar,笑う門には福来たる,5
you can catch more flies with honey than with vinegar,笑う門には福来たる,5
you can have too much of a good thing,過ぎたるは及ばざるが如し,10
"you can lead a horse to water, but you can't make her drink",馬を水辺に連れて行けても水を飲ませることはできない,6
"you can lead a horse to water, but you can't make him drink",馬を水辺に連れて行けても水を飲ませることはできない,6
"you can lead a horse to water, but you can't make it drink",馬を水辺に連れて行けても水を飲ませることはできない,6
"you can lead a horse to water, but you cannot make it drink",馬を水辺に連れて行けても水を飲ませることはできない,6
"you can lead horses to water, but you can't make them drink",馬を水辺に連れて行けても水を飲ませることはできない,6
you can never/never can tell,何が起こるかわからない,6
"you can take the monkey out of the jungle, but you can't take the jungle out of the monkey",三つ子の魂百まで,8
you can't break a stick in a bundle,三本の矢,9
you can't break a twig in a bundle,三本の矢,9
you can't break sticks in a bundle,三本の矢,9
you can't catch old birds with chaff,年の功にはかなわない,7
you can't fight city hall,長いものには巻かれろ,9
you can't get a quart into a pint pot,無い袖は振れぬ,6
you can't get something for nothing,ただより高いものはない,10
you can't go home again,盛年重ねて来らず,5
you can't judge a book by its cover,人は見かけによらぬもの,10
you can't keep a good man down,善は滅びず,5
you can't make a silk purse of a sow's ear,柳の下にいつも泥鰌はいない,4
you can't make an omelette without breaking eggs,虎穴に入らずんば虎子を得ず,9
you can't outrun your fork,医食同源,6
you can't polish a turd,腐っても鯛,2
you can't pour from an empty cup,無い袖は振れぬ,8
you can't put a wise head on young shoulders,若気の至り,6
you can't put an old head on young shoulders,若気の至り,6
you can't put the shit back in the horse,覆水盆に返らず,9
you can't put the toothpaste back in the tube,覆水盆に返らず,10
you can't put the toothpaste back into the tube,覆水盆に返らず,10
you can't run with the hare and hunt with the hounds,二兎を追う者は一兎をも得ず,7
you can't step in the same river twice,盛者必衰,5
you can't take it with you,あの世へは何も持っていけない,7
you can't teach an old dog new tricks,三つ子の魂百まで,8
you can't tell a book by its cover,人は見かけによらぬもの,10
you can't unring a bell,覆水盆に返らず,9
you can't win them all,勝つこともあれば負けることもある,8
you cannot always get what you want,世の中は思い通りにならない,8
you cannot break a stick in a bundle,三本の矢,9
you cannot break a twig in a bundle,三本の矢,9
you cannot break sticks in a bundle,三本の矢,9
you cannot burn a candle at both ends,二兎を追う者は一兎をも得ず,6
you cannot get blood out of a stone,無い袖は振れぬ,10
you cannot have your cake and eat it too,二兎を追う者は一兎をも得ず,7
you cannot make a silk purse from a sow's ear,柳の下にいつも泥鰌はおらぬ,4
you cannot make an omelette without breaking eggs,虎穴に入らずんば虎子を得ず,8
you cannot make bricks without straw,無い袖は振れぬ,8
you cannot please everyone,十人十色,6
you cannot put the same shoe on every foot,十人十色,7
you cannot run with the hare and hunt with the hounds,二兎を追う者は一兎をも得ず,7
you cannot unscramble eggs,覆水盆に返らず,10
you cannot win them all,勝つこともあれば負けることもある,8
you cannot) teach an old dog new tricks,三つ子の魂百まで,8
you catch more flies with honey than vinegar,笑う門には福来る,5
you catch more flies with honey than with vinegar,笑う門には福来る,5
you don't get owt for nowt,ただより高いものはない,9
you don't get something for nothing,ただより高いものはない,9
you don't know what you've got till it's gone,失って初めて有り難さが分かる,9
you don't look at the mantelpiece when you poke the fire,蓼食う虫も好き好き,6
you don't look at the mantelpiece when you're poking the fire,蓼食う虫も好き好き,6
you don't miss the water till the well runs dry,失って初めて有り難さが分かる,9
you don't need a weatherman to know which way the wind blows,火を見るより明らかだ,6
you get more with a kind word and a gun than you do with a kind word alone,飴と鞭を使い分ける,7
you get what you pay for,安物買いの銭失い,10
you have to be good to be lucky,運も実力のうち,9
you have to be in it to win it,虎穴に入らずんば虎子を得ず,9
you make the bed you lie in,自業自得,9
you may/might as well be hanged/hung for a sheep as (for) a lamb,どうせやるなら徹底的にやれ,5
you miss 100% of the shots you don't take,当たって砕けろ,8
you must have rocks in your head,頭がおかしいんじゃないか,7
you never know what you've got till it's gone,失って初めて有り難さが分かる,9
you never miss the water till the well runs dry,失って初めて有り難さが分かる,9
you never miss the water until the well runs dry,失って初めて有り難さが分かる,9
you only get what you give,情けは人の為ならず,6
you only go around once,人生一度きり,8
you only go around once in life,人生一度きり,8
you only live once,人生一度きり,9
you pay your dime and you takes your chances,自己責任,6
you pay your money and you take your choice,自己責任,6
you pays your money and you takes your chances,自己責任,6
you pays your money and you takes your choice,自己責任,6
you pays your nickel and you takes your chances,自己責任,6
you pays your nickel and you takes your choice,自己責任,6
you scratch my back and i will scratch yours,持ちつ持たれつ,9
you scratch my back and i'll scratch yours,持ちつ持たれつ,9
you snooze you lose,ぐずぐずしていると機を逃す,7
"you win some, you lose some",勝つ日もあれば負ける日もある,8
you'll never get if you never go,虎穴に入らずんば虎子を得ず,9
you're never fully dressed without a smile,笑う門には福来る,7
you're never too old to learn,学びに遅すぎることはない,8
you're only as good as your last shift,一事が万事,6
you've got to be in it to win it,虎穴に入らずんば虎子を得ず,9
you've got to crack a few eggs to make an omelette,虻蜂取らず,3
you've got to separate the wheat from the chaff,玉石混交,6
you've made your bed and you must lie in/on it,自業自得,9
"your face, your fate",人相は心の鏡,4
your vibe attracts your tribe,類は友を呼ぶ,10
youth is wasted on the young,若い時の苦労は買ってでもせよ,5
zeal without knowledge is a runaway horse,勇み足は怪我のもと,6
zeal without knowledge is fire without light,短気は損気,5
actions have consequences,自業自得,9
actions speak louder than words,不言実行,8
adversity makes strange bedfellows,同病相憐れむ,6
age is just a number,年齢はただの数字,5
all cats are gray at night,暗闇では猫も虎も同じ,6
all cats are gray in the dark,暗闇では猫も虎も同じ,7
all cats are grey at night,暗闇では猫も虎も同じ,6
all cats are grey by night,暗闇では猫も虎も同じ,6
all cats are grey in the dark,暗闇では猫も虎も同じ,7
all good things come to an end,楽あれば苦あり,6
all good things come to him who waits,果報は寝て待て,10
all good things must come to an end,盛者必衰,7
all hands on deck/to the pump,総力を結集する,4
all is fair in love and war,恋と戦争には手段を選ばず,6
all is fish that comes to the net,転んでもただでは起きぬ,8
all is for the best in the best of all possible worlds,この世はすべてうまくいくようにできている,4
