en,zh,confidence
hard work never did anyone any harm,吃得苦中苦，方为人上人,8
haste makes waste,欲速则不达,10
haters gonna hate,走自己的路，让别人说去吧,6
he laughs best that laughs last,笑到最后的人笑得最甜,8
"he that goes a-borrowing, goes a-sorrowing",欠债还钱，天经地义,6
"he that mischief hatches, mischief catches",害人终害己,10
he who digs a pit for others falls in himself,搬起石头砸自己的脚,10
"he who fails to prepare, prepares to fail",不打无准备之仗,8
he who hesitates is lost,当机立断,7
he who knows does not speak. he who speaks does not know,知者不言，言者不知,10
he who laughs last laughs best,笑到最后的人笑得最甜,9
he who laughs last laughs hardest,笑到最后的人笑得最甜,8
he who laughs last laughs longest,笑到最后的人笑得最甜,8
"he who lives by the sword, dies by the sword",玩火者必自焚,9
he who loves the world as his body may be entrusted with the empire,爱人者人恒爱之,5
he who pays the piper calls the tune,拿人手短吃人嘴软,6
he who said the rhyme did the crime,此地无银三百两,7
he who smelt it dealt it,此地无银三百两,6
he who sups with the devil should have a long spoon,与虎谋皮,7
health is wealth,身体是革命的本钱,9
health is your first wealth,健康是最大的财富,9
heaven helps those that help themselves,天助自助者,10
heaven helps those who help themselves,天助自助者,10
hell has no fury like a woman scorned,最毒妇人心,7
hell hath no fury like a woman scorned,最毒妇人心,7
"hell hath no fury like a woman scorned; heav'n has no rage, like love to hatred turn'd, nor hell a fury, like a woman scorn'd",最毒妇人心,6
"hell is full of good meanings, but heaven is full of good works",空谈误国实干兴邦,7
"hic rhodus, hic salta",是骡子是马拉出来遛遛,7
hindsight is 20/20,事后诸葛亮,9
hindsight is always twenty-twenty,事后诸葛亮,9
history is written by the victors,成者为王败者为寇,9
history repeats itself,历史总是惊人地相似,8
home is where the heart is,金窝银窝不如自家草窝,8
home is where you hang your hat,四海为家,7
honesty is the best policy,诚实为上,8
honey catches more flies than vinegar,良言一句三冬暖,7
"hope for the best, and prepare for the worst",居安思危,8
"hope for the best, prepare for the worst",居安思危,8
hope springs eternal,留得青山在不愁没柴烧,7
hope springs eternal in the human breast,留得青山在不愁没柴烧,7
horses for courses,对症下药,8
"horses, not zebras",就事论事,4
how long is a piece of string,这可说不准,3
how you get them is how you lose them,来得快去得也快,8
hunger is a good sauce,饥不择食,8
hunger is the best pickle,饥不择食,8
hunger is the best sauce,饥不择食,9
hunger is the best seasoning,饥不择食,9
hunger is the best spice,饥不择食,9
hunt where the ducks are,对症下药,6
hurt people hurt people,可怜之人必有可恨之处,6
i want doesn't get,会哭的孩子有奶吃,4
i'm going to have to give you the pink slip,炒鱿鱼,9
idle hands are the devil's playthings,游手好闲，惹是生非,7
idle hands are the devil's tools,游手好闲，惹是生非,8
idle hands are the devil's workshop,游手好闲，惹是生非,8
idle hands make work for the devil,游手好闲，惹是生非,8
"if a job is worth doing, it is worth doing well",干一行爱一行,7
"if all you have is a hammer, everything looks like a nail",一招鲜吃遍天,6
"if all you've got is a hammer, everything looks like a nail",一招鲜吃遍天,6
"if anything can go wrong, it will",屋漏偏逢连夜雨,7
"if at first you do not succeed, try, try again",失败是成功之母,9
if at first you don't succeed,失败是成功之母,8
"if at first you don't succeed, try try again",失败是成功之母,9
"if god had meant us to fly, he would have given us wings",人各有命,5
"if ifs and ands were pots and pans, there would be no work for tinkers",世上没有后悔药,7
"if ifs and buts were candies and nuts, we'd all have a merry christmas",世上没有后悔药,7
"if ifs and buts were candy and nuts, we'd all have a merry christmas",世上没有后悔药,7
"if it ain't broke, don't fix it",好端端的别瞎折腾,6
"if it ain't busted, don't fix it",好端端的别瞎折腾,6
"if it looks like a duck, swims like a duck, and quacks like a duck, then it probably is a duck",事实胜于雄辩,7
"if it looks like a duck, swims like a duck, and quacks like a duck, then it's probably a duck",事实胜于雄辩,7
"if it were a snake, it would have bit you",灯下黑,6
if it were not for hope the heart would break,留得青山在，不怕没柴烧,8
if pigs had wings they would fly,天方夜谭,6
"if the mountain will not come to mohammed, then mohammed must go to the mountain",山不转水转,9
if the mountain won't come to mohammed,山不转水转,8
if the mountain won't come to muhammad,山不转水转,8
"if the mountain won't come to muhammad, then muhammad must go to the mountain",山不转水转,9
"if the shoe fits, wear it",对号入座,10
"if we had ham we could have ham and eggs, if we had eggs",假如这假如那，不如脚踏实地,4
"if we had some ham we could have some ham and eggs, if we had some eggs",假如这假如那，不如脚踏实地,4
"if wealth is lost, nothing is lost. if health is lost, something is lost. if character is lost, everything is lost",失之东隅，收之桑榆,3
"if wishes were horses, beggars might ride",光说不练假把式,7
"if wishes were horses, beggars would ride",光说不练假把式,7
"if you aim at nothing, you'll hit it every time",无的放矢,7
"if you believe everything you read, better not to read",尽信书不如无书,10
"if you build it, they will come",酒香不怕巷子深,8
"if you can't be good, be careful",不怕一万就怕万一,6
"if you can't beat them, join them",识时务者为俊杰,8
"if you can't do the time, don't do the crime",不做亏心事不怕鬼敲门,6
"if you can't lick them, join them",识时务者为俊杰,8
"if you can't stand the heat, get out of the kitchen",干得多错得多,4
"if you find yourself in a hole, the first thing to do is stop digging",悬崖勒马,7
"if you fly with the crows, you get shot with the crows",近朱者赤近墨者黑,8
"if you give a mouse a cookie, he'll always ask for a glass of milk",得寸进尺,9
"if you lie down with dogs, you get up with fleas",近朱者赤近墨者黑,8
"if you lie down with dogs, you will get up with fleas",近朱者赤近墨者黑,8
if you lie with dogs you will get fleas,近朱者赤近墨者黑,8
"if you mess with the bull, you get the horns",玩火者必自焚,7
"if you must dance with the devil, you might as well know his favorite song",知己知彼百战不殆,7
"if you pay bananas, you get monkeys",一分钱一分货,9
"if you pay peanuts, you get monkeys",一分钱一分货,9
"if you play with fire, you will get burned",玩火者必自焚,10
"if you think that you know everything, then you're a jack ass",自以为是,7
"if you want a thing done well, do it yourself",求人不如求己,10
"if you want peace, prepare for war",备战方能止战,6
"if you're growing in age, then you're nearing to the graveyard",人终有一死,7
"if you've got it, flaunt it",有啥说啥,3
ignorance is bliss,眼不见心不烦,8
ill doers are ill deemers,以小人之心度君子之腹,9
ill news spreads apace,好事不出门坏事传千里,10
ill-gotten gains never prosper,君子爱财取之有道,7
imitation is the sincerest form of flattery,真金不怕火炼,2
"in for a dime, in for a dollar",一不做二不休,7
"in for a penny, in for a pound",一不做二不休,9
"in for an inch, in for a mile",一不做二不休,8
"in the country of the blind, the one-eyed man is king",山中无老虎，猴子称大王,10
"in the kingdom of the blind, the one eyed man is king",山中无老虎，猴子称大王,10
"in the land of the blind, the one-eyed man is king",山中无老虎，猴子称大王,10
"in the midst of life, we are in death",生死有命,6
"in the valley of the blind, the one-eyed man is king",山中无老虎，猴子称大王,10
"in unity, there is strength",人心齐，泰山移,10
in vino veritas,酒后吐真言,10
"in wine, there is truth",酒后吐真言,10
into every life a little rain must fall,人生不如意事十之八九,8
"islands depend on reeds, just as reeds depend on islands",唇亡齿寒,6
it ain't over 'til the fat lady sings,鹿死谁手，尚未可知,7
it ain't over till it's over,胜负未分，谈何言败,7
it ain't over till the fat lady sings,鹿死谁手，尚未可知,7
it ain't over till/until it's over,胜负未分，谈何言败,7
it ain't over until the fat lady sings,鹿死谁手，尚未可知,7
it ain't the whistle that pulls the train,火车跑得快，全靠车头带,6
it ain't what you don't know that gets you into trouble. it's what you know for sure that just ain't so,自以为是误大事,6
it goes without saying,不言而喻,10
it is a small world,冤家路窄,6
it is all grist to the mill,来者不拒,6
it is always darkest before the dawn,否极泰来,9
it is always darkest just before the dawn,否极泰来,9
it is an ill wind,祸不单行,5
it is best to be on the safe side,小心驶得万年船,10
it is better to be smarter than you appear than to appear smarter than you are,大智若愚,7
it is better to give than to receive,施比受更有福,8
it is better to have loved and lost than never to have loved at all,曾经沧海难为水,5
it is better to light a candle than curse the darkness,与其诅咒黑暗，不如点亮蜡烛,9
it is darkest before the dawn,否极泰来,9
it is darkest just before the dawn,否极泰来,9
it is easier for a camel to go through the eye of a needle than for a rich man to enter into the kingdom of god,骆驼穿针眼，比登天还难,7
it is easy to be wise after the event,事后诸葛亮,10
it is easy to find a stick to beat a dog,欲加之罪，何患无辞,8
it is never too late,亡羊补牢，犹未为晚,9
it is no use crying over spilt milk,覆水难收,10
it is no use locking the stable door after the horse has bolted,亡羊补牢,9
"it is not enough to learn how to ride, you must also learn how to fall",失败是成功之母,6
it is not the whistle that pulls the train,光说不练假把式,6
it is the early bird that gets the worm,早起的鸟儿有虫吃,10
it is the empty can that makes the most noise,满瓶不响，半瓶晃荡,10
it is the last straw that breaks the camel's back,压死骆驼的最后一根稻草,10
it is the squeaky wheel that gets the grease,会哭的孩子有奶吃,10
it is what it is,船到桥头自然直,6
it isn't over 'til the fat lady sings,不到最后一刻不要放弃,7
it isn't over till the fat lady sings,不到最后一刻不要放弃,7
it isn't over until the fat lady sings,不到最后一刻不要放弃,7
it isn't the whistle that pulls the train,光说不练假把式,6
it needs a hundred lies to cover a single lie,一谎遮百丑,7
it never rains but it pours,祸不单行,10
it never rains but that it pours,祸不单行,10
it pays to advertise,酒香也怕巷子深,9
it takes a heap o' livin' to make a house a home,家和万事兴,6
it takes a heap of living to make a house a home,家和万事兴,6
it takes a lot of living to make a house a home,家和万事兴,6
it takes a thief to catch a thief,以贼捉贼,9
it takes a village,众人拾柴火焰高,7
it takes a village to raise a child,养儿一百岁，长忧九十九,5
it takes a whole village to raise a child,再穷不能穷教育,4
it takes all kinds,林子大了什么鸟都有,9
it takes all kinds to make a world,林子大了什么鸟都有,9
it takes all sorts,林子大了什么鸟都有,9
it takes all sorts to make a world,林子大了什么鸟都有,9
it takes one to know one,惺惺相惜,7
it takes two to make a quarrel,一个巴掌拍不响,10
it takes two to quarrel,一个巴掌拍不响,10
it takes two to tango,一个巴掌拍不响,10
it will be the same a hundred years hence,百年之后都是一场空,8
it will come back and haunt you,出来混迟早要还的,8
it's a long road that has no turning,否极泰来,7
it's a man's world,男尊女卑,6
"it's a tough job, but someone's got to do it",总得有人去做,7
it's all fun and games until someone loses an eye,玩笑开大就不好笑了,6
it's an ill bird that fouls its own nest,哪有在自己锅里拉屎的,7
it's an ill wind that blows no good,塞翁失马焉知非福,9
it's an ill wind that blows no one any good,塞翁失马焉知非福,9
it's an ill wind that blows nobody any good,塞翁失马焉知非福,9
it's an ill wind that blows nobody good,塞翁失马焉知非福,9
it's better to ask forgiveness than permission,先斩后奏,8
it's easier to ask forgiveness than to get permission,先斩后奏,8
it's greek to me,天书一般,8
it's lonely at the top,高处不胜寒,10
it's never too late to mend,亡羊补牢为时未晚,9
it's not over 'til the fat lady sings,不到最后一刻不能下结论,7
it's not over till the fat lady sings,不到最后一刻不能下结论,7
it's not over until the fat lady sings,不到最后一刻不能下结论,7
it's not the whistle that pulls the train,光说不练假把式,6
it's not what you know but who you know,在家靠父母出门靠朋友,7
it's not what you know but whom you know,在家靠父母出门靠朋友,7
it's not what you say but how you say it,良言一句三冬暖恶语伤人六月寒,8
it's the hit dog that howls,此地无银三百两,7
it's the little things,细节决定成败,8
it's the thought that counts,礼轻情意重,10
"jack of all trades, master of none/one/some",样样通样样松,9
joan's as good as my lady in the dark,灯下不认人,6
"judge not, lest ye be judged",以什么量人人亦以什么量你,5
"judge not, that ye be not judged",己所不欲勿施于人,7
"judge not, that you be not judged",己所不欲勿施于人,7
justice delayed is justice denied,迟来的正义非正义,6
justice is blind,法律面前人人平等,7
karma is a bitch,不是不报时候未到,9
karma's a bitch,不是不报时候未到,9
keep your chin up,抬起头来别气馁,6
keep your friends close and your enemies closer,知己知彼百战不殆,7
"keep your friends close, and your enemies closer",知己知彼百战不殆,7
keep your powder dry,养兵千日用兵一时,6
kids will be kids,孩子嘛就那样,6
kill the chicken to scare the monkey,杀鸡儆猴,10
kill the goose that lays the golden egg,杀鸡取卵,9
kill two birds with one stone,一石二鸟,10
kissing goes by favor,萝卜青菜，各有所爱,7
knock on (or touch) wood,说者无心，听者有意,2
know thyself,知己知彼，百战不殆,6
know which side (one's) bread is buttered,识时务者为俊杰,6
knowledge is power,知识就是力量,10
laugh and grow fat,笑一笑，十年少,8
"laugh and the world laughs with you, weep and you weep alone",人前显贵人后受罪,4
"laugh before breakfast, cry before supper",乐极生悲,8
laughter is the best medicine,笑一笑，十年少,9
"least said, soonest mended",多说无益,6
leave with the one that brought ya,饮水思源,6
leave with the one that brung ya,饮水思源,6
leave with the one that brung you,饮水思源,6
leave with the one what brought ya,饮水思源,6
leave with the one what brought you,饮水思源,6
leave with the one what brung ya,饮水思源,6
leave with the one what brung you,饮水思源,6
leave with the one who brought ya,饮水思源,6
leave with the one who brought you,饮水思源,6
leave with the one who brung ya,饮水思源,6
leave with the one who brung you,饮水思源,6
less is more,少即是多,8
let a thousand flowers bloom,百花齐放,10
let bygones be bygones,既往不咎,10
let sleeping dogs lie,别惹是非,7
let the buyer beware,买卖不成仁义在,3
let the cat out of the bag,泄露天机,7
let the cobbler stick to his last,术业有专攻,10
let the dead bury the dead,逝者已矣，生者如斯,6
let the punishment fit the crime,罪刑相当,9
let well alone,好事不必多磨,7
let your hair down,放松身心,6
life begins at forty,四十不惑,8
life is like a box of chocolates,人生充满未知,4
life is not all beer and skittles,人生不如意事十之八九,8
life is too short not to do something that matters,人生苦短，当及时行乐,5
life is what you make it,人生由己不由天,7
life's a bitch and then you die,人生不如意事十之八九,6
"life's a bitch, and then you die",人生不如意事十之八九,6
lightning does not strike twice in the same place,福无双至，祸不单行,4
lightning doesn't strike twice in the same place,福无双至，祸不单行,4
lightning never strikes the same place twice,福无双至，祸不单行,4
lightning never strikes twice,福无双至，祸不单行,4
lightning never strikes twice in the same place,福无双至，祸不单行,4
like father like son,有其父必有其子,10
"like father, like son",有其父必有其子,10
"like mother, like daughter",有其母必有其女,9
little pitchers have big ears,隔墙有耳,6
little pitchers have long ears,隔墙有耳,6
little strokes fell great oaks,滴水穿石,10
little things please little minds,井底之蛙，所见不广,5
live and let live,各安其分，互不相扰,6
"live by the sword, die by the sword",玩火者必自焚,9
live each day as if it were your last and one day you will surely be right,今朝有酒今朝醉,6
"live fast, die young",好花不常开，好景不常在,5
"live for today, for tomorrow never comes",今朝有酒今朝醉,8
"live not to eat, but eat to live",人为生而食，非为食而生,7
live to fight another day,留得青山在，不怕没柴烧,10
"location, location, location",地利不如人和,3
"long absent, soon forgotten",人走茶凉,9
look before you leap,三思而后行,10
lookers-on see most of the game,当局者迷，旁观者清,10
looks can be deceiving,人不可貌相，海水不可斗量,10
loose lips sink ships,祸从口出,10
might makes right,强权即公理,9
mighty oaks from little acorns grow,合抱之木生于毫末,10
misery enjoys company,同病相怜,9
misery loves company,同病相怜,10
misfortunes never come alone,祸不单行,10
misfortunes never come singly,祸不单行,10
moderation in all things,凡事适可而止,9
money can't buy happiness,金钱买不来幸福,9
money cannot buy happiness,金钱买不来幸福,9
"money demands care, you abuse it and it disappears",你不理财财不理你,8
money does not grow on trees,钱来之不易,8
money does not smell,钱无臭,7
money does not stink,钱无臭,7
money doesn't grow on trees,钱来之不易,8
"money earned by deceit, goes by deceit",不义之财难久留,10
money has no smell,钱无臭,7
money is not everything,金钱不是万能的,10
money is the root of all evil,人为财死鸟为食亡,8
"money makes many things, but also makes devil dance",有钱能使鬼推磨,10
money makes the world go around,有钱能使鬼推磨,9
money talks,有钱好办事,9
money talks and bullshit walks,有钱好说话,8
"money talks, bullshit walks",有钱好说话,8
"more haste, less speed",欲速则不达,10
"move your feet, lose your seat",一步错步步错,4
mud sticks,谣言一旦传开便难以澄清,4
murder will out,纸包不住火,9
music has charms to soothe the savage beast,音乐可以陶冶性情,4
my enemy's enemy is my friend,敌人的敌人就是朋友,9
ne'er cast a clout till may be out,春捂秋冻,7
nearly never won the race,差之毫厘失之千里,7
necessity is the mother of innovation,穷则思变,9
necessity is the mother of invention,穷则思变,9
necessity knows no law,饥不择食,7
needs must,事到临头只得如此,5
needs must when the devil drives,逼上梁山,8
neither a borrower nor a lender be,亲兄弟明算账,6
never ask the barber if you need a haircut,不问卖瓜的瓜甜不甜,7
never cast a clout until may be out,春捂秋冻,7
never change a running system,好端端的别乱动,4
never give a sucker an even break,宰相肚里能撑船,2
never judge a book by its cover,人不可貌相，海水不可斗量,10
never let the sun go down on your anger,床头吵架床尾和,6
never let the truth get in the way of a good story,道听途说添油加醋,6
never look a gift horse in the mouth,拿人手短，吃人嘴软,6
never meet your heroes,距离产生美,7
never put off until tomorrow what you can do today,今日事，今日毕,10
"never reveal a man's wage, and woman's age",财不外露,4
never say die,不到黄河心不死,9
never say never,世事无绝对,8
never speak ill of the dead,好人不长命，祸害遗千年,2
never tell tales out of school,家丑不可外扬,9
never too old to learn,活到老，学到老,10
never waste a crisis,化危为机,8
new brooms sweep clean,新官上任三把火,10
nice guys finish last,老实人吃亏,8
"no bucks, no buck rogers",巧妇难为无米之炊,8
no gain without pain,吃得苦中苦，方为人上人,10
no good deed ever goes unpunished,好心没好报,10
no good deed goes unpunished,好心没好报,10
"no guts, no glory",不入虎穴，焉得虎子,10
no man can serve two masters,一心不可二用,7
no man is an island,在家靠父母，出门靠朋友,7
"no matter how much milk you put in coffee, it's still coffee",江山易改，本性难移,9
"no matter how much milk you put in tea, it's still tea",江山易改，本性难移,9
"no matter how thin you slice it, it's still baloney",本性难移,7
"no matter how thin you slice it, it's still boloney",本性难移,7
"no matter how you slice it, it's still the same old baloney",本性难移,7
"no mill, no meal",巧妇难为无米之炊,9
no news is good news,无事便是福,10
no one can make you feel inferior without your consent,自卑不如自信,6
no one is born a master,世上无难事，只怕有心人,7
no one should be judge in his own case,当局者迷，旁观者清,7
no one should be judge in his own cause,当局者迷，旁观者清,7
"no pain, no gain",一分耕耘，一分收获,10
no peace for the weary,人不得安生,6
no rest for the weary,人不得安生,6
no rest for the wicked,恶有恶报,6
no rose without a thorn,有利必有弊,7
no sleep for the wicked,恶有恶报,6
no smoke without fire,无风不起浪,10
no time like the present,机不可失，时不再来,10
not all heroes wear capes,平凡之中见伟大,7
not all those who wander are lost,行万里路，读万卷书,5
nothing gold can stay,好景不常,9
nothing is certain but death and taxes,生死有命，富贵在天,5
nothing is said that has not been said before,太阳底下没有新鲜事,9
nothing new under the sun,太阳底下没有新鲜事,10
nothing succeeds like success,胜不骄，败不馁,4
"nothing ventured, nothing gained",不入虎穴，焉得虎子,10
oil and water do not mix,水火不容,10
oil and water don't mix,水火不容,10
old habits die hard,江山易改，本性难移,10
old sins cast long shadows,一失足成千古恨,9
one man's terrorist is another man's freedom fighter,公说公有理婆说婆有理,7
one man's trash is another man's treasure,甲之蜜糖乙之砒霜,10
one may as well hang for a sheep as a lamb,一不做二不休,9
one might as well be hanged for a sheep as a lamb,一不做二不休,9
one might as well throw water into the sea as to do a kindness to rogues,对牛弹琴,6
one nail drives out another,新欢忘旧爱,6
"one night with venus, a lifetime with mercury",贪一时之欢，受一世之苦,5
one swallow does not a spring make,一花独放不是春,10
one swallow does not a summer make,一花独放不是春,10
one swallow does not make a spring,一花独放不是春,10
one swallow does not make a summer,一花独放不是春,10
one swallow doesn't a spring make,一花独放不是春,10
one swallow doesn't a summer make,一花独放不是春,10
one swallow doesn't make a spring,一花独放不是春,10
one swallow doesn't make a summer,一花独放不是春,10
"one who believes in sword, dies by the sword",玩火者必自焚,8
one who hesitates is lost,当机立断,7
"one who speaks only one language is one person, but one who speaks two languages is two people",多一门语言多一条路,8
one woman's trash is another woman's treasure,甲之蜜糖乙之砒霜,10
one year's seeding makes seven years weeding,一失足成千古恨,6
one's time is one's own,时间由我不由天,4
only dead fish go with the flow,人往高处走水往低处流,6
only nixon can go to china,只有 Nixon 才能去中国,8
only nixon could go to china,只有 Nixon 才能去中国,8
only time will tell,时间会证明一切,10
open confession is good for the soul,坦白从宽,7
opinions are like assholes,人言人殊,5
opportunity does not knock until you build a door,机会是留给有准备的人,9
opportunity knocks at every man's door,人人都有出头天,6
opportunity makes a thief,苍蝇不叮无缝的蛋,6
opportunity makes the thief,苍蝇不叮无缝的蛋,6
opportunity never knocks twice at any man's door,机不可失时不再来,10
opportunity seldom knocks twice,机不可失时不再来,10
opposites attract,异性相吸,9
"other days, other ways",时过境迁,8
other times other manners,今非昔比,8
"right or wrong, my country",我爱我的祖国，爱她的山河，也爱她的疮痍,5
risk it for a biscuit,不入虎穴，焉得虎子,9
rome was not built in a day,罗马不是一天建成的,10
rome was not built in one day,罗马不是一天建成的,10
rome wasn't built in a day,罗马不是一天建成的,10
rome wasn't burned in a day,冰冻三尺，非一日之寒,8
"rubbish in, rubbish out",种瓜得瓜，种豆得豆,8
rules are made to be broken,有法不依，违法不究,4
rules are meant to be broken,上有政策，下有对策,6
rules are rules,国有国法，家有家规,9
rules are there to be broken,上有政策，下有对策,6
rules is rules,规矩就是规矩,5
rules were made to be broken,上有政策，下有对策,6
"same shit, different toilet",换汤不换药,10
sauce for the goose,一碗水端平,7
scientia potentia est,知识就是力量,10
"see a pin and pick it up, all the day you will have good luck; see a pin and let it lay, bad luck you will have all day",见财起意，必招祸端,2
see naples and die,不到长城非好汉,4
"see no evil, hear no evil, speak no evil",非礼勿视，非礼勿听，非礼勿言，非礼勿动,10
seeing is believing,眼见为实,10
seek and ye shall find,有志者事竟成,8
self-praise is no recommendation,王婆卖瓜，自卖自夸,10
set a beggar on horseback and he'll ride to the devil,暴发户最会摆阔,3
set a thief to catch a thief,以贼捉贼,9
sex sells,情色最能招徕生意,3
shallow brooks are noisy,满瓶不响，半瓶晃荡,9
shared joy is double joy,独乐乐不如众乐乐,10
shared sorrow is half sorrow,同病相怜,6
shiny are the distant hills,这山望着那山高,10
shirtsleeves to shirtsleeves in three generations,富不过三代,10
shit rolls downhill,上梁不正下梁歪,6
"shoemaker, stick to your last",术业有专攻,9
short accounts make long friends,亲兄弟明算账,8
short reckonings make long friends,亲兄弟明算账,9
shrouds have no pockets,生不带来，死不带去,10
shy bairns get noot,不入虎穴焉得虎子,7
shy bairns get nowt,不入虎穴焉得虎子,8
silence is consent,沉默即默许,9
silence is golden,沉默是金,10
sit crooked and talk straight,坐歪理不歪,8
slow and steady wins the race,稳扎稳打，必有胜算,7
slow but sure,慢工出细活,9
slow but sure wins the race,慢工出细活,7
"slow is smooth, smooth is fast",欲速则不达,7
snake in the grass,笑里藏刀,8
"softly, softly, catchee monkey",欲速则不达,6
some are more equal than others,只许州官放火，不许百姓点灯,8
some days you eat the bear and some days the bear eats you,风水轮流转,7
"some days you get the bear, other days the bear gets you",风水轮流转,7
something is better than nothing,聊胜于无,10
sometimes you eat the bear and sometimes the bear eats you,风水轮流转,7
sow the wind and reap the whirlwind,种瓜得瓜，种豆得豆,8
"sow the wind, reap the whirlwind",种瓜得瓜，种豆得豆,8
spare the rod and spoil the child,玉不琢不成器,7
spare the rod and you will spoil the child,玉不琢不成器,7
"spare the rod, spoil the child",玉不琢不成器,7
speak as you find,实话实说,8
speak of the devil and he appears,说曹操曹操到,10
speak of the devil and he shall/is sure/will appear,说曹操曹操到,10
speak softly and carry a big stick,大智若愚，大巧若拙,5
speech is silver but) silence is golden,沉默是金,10
"speech is silver, but silence is golden",沉默是金,10
"speech is silver, silence is gold",沉默是金,10
"speech is silver, silence is golden",沉默是金,10
squeaky wheels get oiled,会哭的孩子有奶吃,10
start from where you are,从实际出发,8
sticks in a bundle are unbreakable,团结就是力量,9
sticks in a bundle can't be broken,团结就是力量,9
sticks in a bundle cannot be broken,团结就是力量,9
still water runs deep,大智若愚,8
still waters run deep,大智若愚,8
strike while the iron is hot,趁热打铁,10
stupid is as stupid does,蠢人自有蠢人福,6
"success depends on your backbone, not your wishbone",求人不如求己,7
"success has many fathers, failure is an orphan",成功者众望所归，失败者众叛亲离,7
"success has many fathers, while failure is an orphan",成功者众望所归，失败者众叛亲离,7
sufficient unto the day is the evil thereof,船到桥头自然直,6
sunlight is the best disinfectant,阳光是最好的防腐剂,8
take care of the pence and the pounds will take care of themselves,积少成多,9
take care of the pennies and the pounds will take care of themselves,积少成多,9
"take care of the pennies, and the pounds will take care of themselves",积少成多,9
